epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6855,1.64207,2.18597,1.76361,0.54516,0.8,0.67725,0.40546,1.0526,2.77,1.34833,0.00065,0.00065,0.00065
2,150.944,1.21528,1.59357,1.45198,0.85494,1,0.89844,0.62438,0.92541,2.47023,1.39698,0.0012906,0.0012906,0.0012906
3,220.306,1.28158,1.95008,1.47689,0.36996,1,0.98196,0.52185,1.06557,9.06881,1.581,0.00190479,0.00190479,0.00190479
4,1063.28,1.25986,2.12685,1.37993,0.5316,0.45,0.52918,0.12208,1.49655,3.56939,1.88308,0.0018812,0.0018812,0.0018812
5,1128.61,1.30431,1.57212,1.47115,0.85318,0.65,0.8403,0.49453,1.42389,2.14971,1.77806,0.0018416,0.0018416,0.0018416
6,1193.47,1.33147,1.79438,1.63814,0.05552,1,0.51709,0.32562,1.03872,31.169,1.71882,0.001802,0.001802,0.001802
7,1252.78,1.30665,1.28313,1.60508,0.99321,1,0.995,0.70297,1.0606,1.90419,1.55407,0.0017624,0.0017624,0.0017624
8,1336.04,1.48614,1.196,1.56646,0.99663,1,0.995,0.70887,1.16185,0.7508,1.53563,0.0017228,0.0017228,0.0017228
9,1369.13,1.25555,0.90696,1.53334,0.99244,1,0.995,0.67624,1.20911,1.15093,1.57305,0.0016832,0.0016832,0.0016832
10,1402.39,1.26117,0.82988,1.49489,0.99115,1,0.995,0.7635,0.88579,1.42719,1.33755,0.0016436,0.0016436,0.0016436
11,1436.54,1.20464,0.85916,1.45038,0.99645,1,0.995,0.75692,0.88065,0.6306,1.32788,0.001604,0.001604,0.001604
12,1480.89,1.1842,0.83833,1.42601,0.99728,1,0.995,0.73214,0.91236,0.64058,1.31423,0.0015644,0.0015644,0.0015644
13,1522,1.12768,0.75459,1.4269,0.99716,1,0.995,0.76993,0.86424,0.56829,1.26567,0.0015248,0.0015248,0.0015248
14,1563.15,1.13183,0.72257,1.43532,0.99718,1,0.995,0.72446,0.98668,0.55203,1.35695,0.0014852,0.0014852,0.0014852
15,1596.97,1.10532,0.71765,1.34461,0.9971,1,0.995,0.75878,0.88983,0.55461,1.28748,0.0014456,0.0014456,0.0014456
16,1628.54,1.18808,0.74885,1.45442,0.9966,1,0.995,0.71046,1.02521,0.59169,1.36979,0.001406,0.001406,0.001406
17,1665.33,1.08044,0.70544,1.31501,0.99562,1,0.995,0.71163,0.99726,0.68868,1.34619,0.0013664,0.0013664,0.0013664
18,1740.96,1.14249,0.72797,1.36516,0.99715,1,0.995,0.74096,0.87152,0.54697,1.26016,0.0013268,0.0013268,0.0013268
19,1806.31,1.05802,0.65369,1.37331,0.99711,1,0.995,0.73004,0.92376,0.59986,1.30672,0.0012872,0.0012872,0.0012872
20,1881.19,1.09393,0.64626,1.38025,0.99703,1,0.995,0.70443,0.99908,0.53229,1.34754,0.0012476,0.0012476,0.0012476
21,1925.49,1.03441,0.62038,1.34827,0.99712,1,0.995,0.76568,0.90421,0.50622,1.27973,0.001208,0.001208,0.001208
22,1966.32,1.11566,0.63327,1.40962,0.99702,1,0.995,0.77424,0.8643,0.48249,1.2507,0.0011684,0.0011684,0.0011684
23,2013.24,0.95084,0.58597,1.25162,0.99697,1,0.995,0.7505,0.90287,0.50657,1.29162,0.0011288,0.0011288,0.0011288
24,2080.58,1.02881,0.59951,1.28707,0.99739,1,0.995,0.76103,0.86879,0.44965,1.31062,0.0010892,0.0010892,0.0010892
25,2215.53,1.04853,0.62325,1.3115,0.99737,1,0.995,0.77119,0.84243,0.47995,1.30738,0.0010496,0.0010496,0.0010496
26,2276.84,0.97964,0.5806,1.27054,0.99731,1,0.995,0.80375,0.82241,0.46212,1.2686,0.00101,0.00101,0.00101
27,2341.19,1.09282,0.5861,1.37548,0.99702,1,0.995,0.77424,0.88926,0.46872,1.30186,0.0009704,0.0009704,0.0009704
28,2394,0.97777,0.58862,1.27582,0.99676,1,0.995,0.72348,0.98157,0.50946,1.35017,0.0009308,0.0009308,0.0009308
